time,open,high,low,close,tick_volume,spread,real_volume,SMA_3,SMA_10,EMA_10,EMA_25,RSI,MACD,Signal,Upper_Band,Lower_Band,ATR,Stochastic,ADX,HA_Close,HA_Open,HA_High,HA_Low
2021-05-10,1833.04,1845.49,1829.97,1835.54,124892,0,0,1827.2033333333331,1794.1009999999999,1801.3541702076632,1780.1476281865105,70.42480862354901,21.2065420211527,14.769122201436769,1829.1637469350767,1735.6662530649228,23.36562602545842,88.85778275475919,33.70808275761345,1836.01,1822.745,1845.49,1822.745
2021-05-11,1836.07,1841.8,1818.09,1836.8,120851,0,0,1834.3966666666665,1800.111,1807.7988665335424,1784.5055029413945,70.70610876754098,23.293363592147898,16.473970479578995,1836.1715038933828,1737.7994961066172,23.40006342291258,90.26875699888011,34.687189666021425,1833.19,1834.29,1841.8,1818.09
2021-05-12,1836.83,1843.68,1813.24,1816.11,137693,0,0,1829.4833333333333,1803.575,1809.3099817092618,1786.936618099749,60.4129040550162,22.373363609512808,17.653849105565758,1835.8150463768104,1746.1419536231895,24.104057080621327,67.09966405375125,35.202143077071014,1827.465,1836.435,1843.68,1813.24
2021-05-13,1814.87,1828.8,1808.77,1826.93,122267,0,0,1826.6133333333335,1809.0400000000002,1812.513621398487,1790.0130320920762,63.44856611524675,22.500589306410802,18.623197145734768,1839.7303764793567,1748.5696235206435,23.69665137255919,79.21612541993287,35.317178384886056,1819.8425000000002,1826.4699999999998,1828.8,1808.77
2021-05-14,1827.12,1845.93,1819.77,1842.56,101155,0,0,1828.5333333333335,1816.399,1817.9765993260346,1794.055106546532,67.38932485568807,23.921492779502614,19.682856272488337,1846.858580371893,1748.0304196281072,23.94298623530328,96.24470693113426,36.005392612452155,1833.8449999999998,1820.9,1845.93,1819.77
2021-05-17,1843.52,1868.41,1843.52,1866.65,105152,0,0,1845.38,1823.7599999999998,1826.8263085394829,1799.6393291198758,72.39370152651925,27.18697941960704,21.18368090191208,1858.5009709844753,1745.9750290155248,24.133687611772967,98.43165211192301,37.250025347014294,1855.525,1834.84,1868.41,1834.84
2021-05-18,1866.69,1875.03,1863.2,1869.64,95130,0,0,1859.6166666666668,1832.7960000000003,1834.6106160777586,1805.0239961106547,72.95564138283218,29.586619967103843,22.864268714950434,1869.0735539008444,1744.5114460991556,22.90331885059566,95.46449007068337,38.56066191452971,1868.64,1855.085,1875.03,1855.085
2021-05-19,1869.12,1890.09,1852.23,1870.15,155875,0,0,1868.8133333333335,1841.045,1841.0723222454387,1810.0336887175276,73.05768927674619,31.038633527911088,24.499141677542564,1878.3573309587057,1742.8506690412944,24.398986965536086,84.15574096146217,40.102462041631135,1870.3975,1868.165,1890.09,1852.23
2021-05-20,1870.06,1883.94,1863.86,1877.28,147676,0,0,1872.3566666666666,1847.2510000000002,1847.6555363826315,1815.2064818931024,74.52381006789352,32.44905448952909,26.08912423993987,1887.7452472924945,1742.7547527075055,23.967088268982494,89.6735187424426,41.53413358822531,1873.7849999999999,1869.635,1883.94,1863.86
2021-05-21,1877.79,1889.41,1870.1,1881.74,139975,0,0,1876.39,1852.3399999999997,1853.8527115857892,1820.3244448244022,75.43596479456824,33.52826676138693,27.576952744229285,1896.1987030356456,1744.8272969643547,23.50137944208426,93.0183946488295,42.98126553286837,1879.7599999999998,1873.67,1889.41,1870.1
